,tweet_count,tweet_comp_score,tweet_date,tweet_neg_score,tweet_neu_score,tweet_pos_score,tweet_source,tweet_text
22,22,0.4215,Tue Jul 10 06:33:03 +0000 2018,0.0,0.833,0.167,CBS News,Russia launches Progress supply ship on fastest trip ever to International Space Station https://t.co/PRgoUfatRg https://t.co/Q7a5KSbYUF
23,23,-0.3612,Tue Jul 10 06:18:03 +0000 2018,0.217,0.783,0.0,CBS News,Former FBI lawyer Lisa Page fighting congressional deposition https://t.co/XLCaQYHq12 https://t.co/iPdY48Pc6F
24,24,0.0,Tue Jul 10 06:03:03 +0000 2018,0.0,1.0,0.0,CBS News,Reactions to Trump's decision to nominate Brett Kavanaugh https://t.co/FaJNttZrSR https://t.co/i5H3H2DLoW
25,25,0.0,Tue Jul 10 06:00:26 +0000 2018,0.0,1.0,0.0,CBS News,Trump vowed to nominate justices who would overturn Roe v. Wade. Will nominee Brett Kavanaugh do just that?… https://t.co/gly1E3tVv8
26,26,0.0,Tue Jul 10 05:48:04 +0000 2018,0.0,1.0,0.0,CBS News,"""This is what we call a miracle"": Baby survives 9 hours buried under debris in woods https://t.co/1dwBeB7HTv https://t.co/g8LajsnObF"
27,27,0.5574,Tue Jul 10 05:33:03 +0000 2018,0.0,0.769,0.231,CBS News,Nuclear option: Why Trump's Supreme Court pick needs only 51 votes https://t.co/R52S4ovyJJ https://t.co/DQbwY5d6TA
28,28,-0.7783,Tue Jul 10 05:18:04 +0000 2018,0.343,0.657,0.0,CBS News,China makes $8.46 from an iPhone. That's why a U.S. trade war is futile https://t.co/rNY9gg2odB https://t.co/lhgiXkF4rF
29,29,0.4767,Tue Jul 10 05:04:29 +0000 2018,0.126,0.632,0.242,CBS News,HAPPENING NOW: Third rescue mission is now underway to save the five remaining people trapped in a cave in Thailand… https://t.co/0zooCwFdkZ
30,30,-0.296,Tue Jul 10 05:03:03 +0000 2018,0.128,0.872,0.0,CBS News,New Jersey woman on oxygen dies after PSE&amp;G cuts off power to her home https://t.co/K56sNet5C1 https://t.co/tygZn9SDjV
31,31,-0.1531,Tue Jul 10 04:48:02 +0000 2018,0.138,0.862,0.0,CBS News,Queen Elizabeth and Prince Philip miss Prince Louis’ christening https://t.co/g2yBUK4glG https://t.co/9YEx6YWdqk
32,32,0.3182,Tue Jul 10 04:33:03 +0000 2018,0.0,0.839,0.161,CBS News,Tropical Storm Chris expected to strengthen to hurricane off East Coast https://t.co/5I62h6sD47 https://t.co/380t7T2Dk1
33,33,0.4812,Tue Jul 10 04:18:03 +0000 2018,0.154,0.527,0.319,CBS News,Commentary: Don't destroy the Supreme Court to save it from Trump https://t.co/ULZYto7F3J https://t.co/U0sTXnScdP
34,34,0.0,Tue Jul 10 04:10:05 +0000 2018,0.0,1.0,0.0,CBS News,"Who is Martha Kavanaugh, Brett Kavanaugh's mother? https://t.co/DR1fGpmWWs https://t.co/FVeoNy5gbW"
35,35,-0.802,Tue Jul 10 04:03:06 +0000 2018,0.375,0.625,0.0,CBS News,"New details emerge after N.J. mom survives crash that killed husband, 4 daughters https://t.co/KdaKIyK28L https://t.co/2QJTPCwGvt"
36,36,0.4588,Tue Jul 10 03:39:32 +0000 2018,0.0,0.8,0.2,CBS News,Justin Bieber and Hailey Baldwin confirm their engagement on social media: https://t.co/SyJcDpeuyZ https://t.co/lu4fUV36x3
37,37,0.4767,Tue Jul 10 03:18:47 +0000 2018,0.065,0.779,0.156,CBS News,"""He's going to be tough to the media"": Judge Kavanaugh's former law clerk says President Trump's Supreme Court nomi… https://t.co/cNvuyr66Kg"
38,38,0.5574,Tue Jul 10 02:59:09 +0000 2018,0.0,0.82,0.18,CBS News,"Q: Tell me what it was like to clerk for Judge Kavanaugh.

 Judge Kavanaugh's fmr. law clerk:  Well, it could be a… https://t.co/1C14IPzkXr"
39,39,0.214,Tue Jul 10 02:55:04 +0000 2018,0.0,0.915,0.085,CBS News,"""Brett Kavanaugh probably is not the most offensive person you could have picked, but that doesn't make him any les… https://t.co/7M7HxDEEDO"
40,40,0.4939,Tue Jul 10 07:06:07 +0000 2018,0.0,0.833,0.167,CNN,"In an experiment, Australian scientists have successfully wiped out more than 80% of disease-carrying mosquitoes in… https://t.co/wAX3QEbyQQ"
41,41,-0.4767,Tue Jul 10 06:52:05 +0000 2018,0.163,0.769,0.068,CNN,"The Samoan government has launched an inquiry into the deaths of two one-year-old infants, who died within minutes… https://t.co/IkrBtdhuFL"
42,42,0.7076,Tue Jul 10 06:48:44 +0000 2018,0.0,0.743,0.257,CNN,"RT @CuomoPrimeTime: President Trump’s Supreme Court pick Brett Kavanaugh has an ""enormously expansive"" vision of presidential power that is…"
43,43,-0.4404,Tue Jul 10 06:40:05 +0000 2018,0.172,0.828,0.0,CNN,UK's Theresa May attempts to salvage Brexit strategy amid attacks from all sides https://t.co/ZnyVTdRBhi https://t.co/ALbTJ6lieW
44,44,-0.4588,Tue Jul 10 06:31:05 +0000 2018,0.125,0.875,0.0,CNN,"Bruises cover the face of Rodolfo Rodriguez, 91, who says he was attacked by a group of people while going for a wa… https://t.co/payG3R8r4t"
45,45,0.6597,Tue Jul 10 06:03:53 +0000 2018,0.085,0.674,0.241,CNN,"Liu Xia, the wife of late Nobel Peace Prize laureate Liu Xiaobo flies to Germany after 8 years of house arrest, acc… https://t.co/ibMwU54q6m"
46,46,0.5423,Tue Jul 10 06:01:05 +0000 2018,0.0,0.71,0.29,CNN,"Babies sleep better when they begin solid food early, study says https://t.co/9z2Ly911FT https://t.co/fsfocg2Vj6"
47,47,0.5106,Tue Jul 10 05:47:07 +0000 2018,0.0,0.858,0.142,CNN,"The mission to rescue the four final boys and their soccer coach from a cave in northern Thailand is underway. 

Re… https://t.co/eraCcUDXSn"
48,48,-0.5859,Tue Jul 10 05:46:00 +0000 2018,0.211,0.789,0.0,CNN,"The ""blind"" Cheetah 3 robot developed by the MIT is designed to avoid obstacles and climb stairs using ""feel"" inste… https://t.co/52mHJuE5lR"
49,49,-0.3182,Tue Jul 10 05:31:07 +0000 2018,0.15,0.85,0.0,CNN,YouTube says it has a plan to stem the flow of misinformation videos https://t.co/2QALq0Zy83 https://t.co/apZaodgNqk
50,50,0.2732,Tue Jul 10 05:16:00 +0000 2018,0.0,0.87,0.13,CNN,A recent study found that humans on the moon increased its temperature. Here's why: https://t.co/PdagTRQmin https://t.co/AmoQwTPa0d
51,51,0.0,Tue Jul 10 05:01:06 +0000 2018,0.0,1.0,0.0,CNN,"She found her ring in the ashes of their home, so he proposed all over again https://t.co/0axkibJEPg https://t.co/Yvny48JnCD"
52,52,-0.4215,Tue Jul 10 04:46:00 +0000 2018,0.135,0.865,0.0,CNN,Electric scooters have overtaken the streets in several cities around the world. Now lawmakers are struggling to re… https://t.co/pfI5ltM0Eo
53,53,0.0,Tue Jul 10 04:31:07 +0000 2018,0.0,1.0,0.0,CNN,A planned project in Dubai that's being billed as the world's largest vertical farm will soon feed the Middle East'… https://t.co/eOEjmWZi7g
54,54,0.0,Tue Jul 10 04:16:00 +0000 2018,0.0,1.0,0.0,CNN,Starbucks is going strawless. The coffee company announced Monday that it will phase out plastic straws from all of… https://t.co/m3cbMiBf2S
55,55,-0.5423,Tue Jul 10 04:08:03 +0000 2018,0.211,0.717,0.072,CNN,A Florida man had a heart attack while laying sod in his front yard to avoid getting a fine from his homeowner's as… https://t.co/Sy8W3CJv78
56,56,-0.4215,Tue Jul 10 04:01:00 +0000 2018,0.135,0.865,0.0,CNN,"Chicago has been Sears' headquarters for a century. Now, the struggling retailer is closing its last location in th… https://t.co/5PckWUh8s9"
57,57,-0.4215,Tue Jul 10 03:46:04 +0000 2018,0.123,0.877,0.0,CNN,"Johnny Depp is being sued by a location manager who worked on his upcoming movie ""City of Lies"" for allegedly punch… https://t.co/ys1O8m7L5G"
58,58,0.4019,Tue Jul 10 03:31:10 +0000 2018,0.0,0.847,0.153,CNN,The National Republican Congressional Committee has pulled its support for a New Jersey Republican congressional no… https://t.co/bFIiFZuFxK
59,59,0.6597,Tue Jul 10 03:27:33 +0000 2018,0.0,0.748,0.252,CNN,President Trump has nominated Judge Brett Kavanaugh to fill the seat created by Justice Anthony Kennedy's retiremen… https://t.co/Yks3oSBjW2
60,60,0.3818,Tue Jul 10 07:15:00 +0000 2018,0.0,0.822,0.178,Fox News,.@WhiteHouse Chief of Staff John Kelly helps fix tangled American flag #ProudAmerican https://t.co/9ozSzanoWT
61,61,0.6124,Tue Jul 10 07:07:00 +0000 2018,0.0,0.762,0.238,Fox News,Illinois man dies in 500-foot fall at Grand Canyon days before starting his dream job as nurse https://t.co/a2hZBYowtD
62,62,0.5574,Tue Jul 10 07:00:00 +0000 2018,0.0,0.705,0.295,Fox News,"Judge Brett Kavanaugh: ""I thank God every day for my family."" https://t.co/HGa5SCai30 https://t.co/NYxjG333aW"
63,63,0.5574,Tue Jul 10 06:53:00 +0000 2018,0.0,0.806,0.194,Fox News,"President @realDonaldTrump nominated appeals court judge Brett Kavanaugh to the Supreme Court Monday night, stating… https://t.co/KvXajT2nGU"
64,64,0.3818,Tue Jul 10 06:45:00 +0000 2018,0.0,0.885,0.115,Fox News,"Tony Perkins: ""This president has kept his political promises, more so than any president that I've seen in my life… https://t.co/P3w1B8dYsK"
65,65,0.5574,Tue Jul 10 06:38:00 +0000 2018,0.0,0.833,0.167,Fox News,President @realDonaldTrump talks with his Supreme Court nominee Judge Brett Kavanaugh and his family in the East Ro… https://t.co/FMYaSNrq12
66,66,0.6908,Tue Jul 10 06:30:00 +0000 2018,0.0,0.759,0.241,Fox News,".@BenSasse: ""This isn't the apocalypse. This is a chance to teach our kids basic civics and to celebrate checks and… https://t.co/I5VLum5fMg"
67,67,-0.34,Tue Jul 10 06:23:00 +0000 2018,0.156,0.844,0.0,Fox News,Police investigating arrest of black teen selling water bottles at Philly zoo: report https://t.co/UCmNDNl8ia
68,68,0.4215,Tue Jul 10 06:16:37 +0000 2018,0.0,0.877,0.123,Fox News,A live look at the hospital in Chiang Rai where the boys who were rescued from the cave are being treated.… https://t.co/XRICMTr7g5
69,69,0.6705,Tue Jul 10 06:15:00 +0000 2018,0.0,0.756,0.244,Fox News,"Brett Kavanaugh to @POTUS: ""I have witnessed firsthand your appreciation for the vital role of the American judicia… https://t.co/kpjG4rS04a"
70,70,0.0,Tue Jul 10 06:12:47 +0000 2018,0.0,1.0,0.0,Fox News,A live look of the mountain road leading to the entrance of the cave where eight youth soccer players have been res… https://t.co/nZKCc5OdPx
71,71,-0.4939,Tue Jul 10 06:07:00 +0000 2018,0.13,0.827,0.043,Fox News,"“It took all the pain away and reminded me of what matters in life: the people around you.”

After one couple's hou… https://t.co/Rr8kPlG5On"
72,72,-0.296,Tue Jul 10 06:00:00 +0000 2018,0.104,0.896,0.0,Fox News,"Rudy Giuliani: “They haven’t come up with a scintilla of evidence, no facts, that the president had anything to do… https://t.co/OcEOtYgBX4"
73,73,0.5574,Tue Jul 10 05:59:04 +0000 2018,0.0,0.854,0.146,Fox News,".@VP Mike Pence reacted to @POTUS' nomination of Judge Brett Kavanaugh to the Supreme Court, saying he is ""a man of… https://t.co/BjYbfFyk8D"
74,74,0.0,Tue Jul 10 05:53:00 +0000 2018,0.0,1.0,0.0,Fox News,"Kavanaugh recalls first date with wife: Sept. 10, 2001 https://t.co/LH5VZ5cPGc"
75,75,0.0,Tue Jul 10 05:45:00 +0000 2018,0.0,1.0,0.0,Fox News,".@Nigel_Farage: ""Prime Minister Theresa May, who incidentally was a remain voter in the referendum, presented a pla… https://t.co/Ryy7XdH6Pu"
76,76,0.6124,Tue Jul 10 05:38:00 +0000 2018,0.0,0.818,0.182,Fox News,"""President Trump has made an outstanding decision,"" former President George W. Bush says in a statement on Judge Br… https://t.co/tuR2sT5hMa"
77,77,-0.5267,Tue Jul 10 05:30:00 +0000 2018,0.216,0.784,0.0,Fox News,".@POTUS: ""There is no one in America more qualified for this position and no one more deserving.""… https://t.co/9433Sx88cH"
78,78,-0.8442,Tue Jul 10 05:23:00 +0000 2018,0.453,0.547,0.0,Fox News,"San Francisco teenager beat man with skateboard in suspected hate crime, police say https://t.co/8GWIGKEhmO"
79,79,0.6808,Tue Jul 10 05:15:00 +0000 2018,0.0,0.699,0.301,Fox News,".@KatiePavlich: ""The American people are smarter than the left gives them credit for."" @foxnewsnight https://t.co/9oOu9Yg0RC"
80,80,0.5423,Tue Jul 10 06:55:04 +0000 2018,0.065,0.729,0.206,The New York Times,"RT @nytimestheater: Will Broadway welcome an Australian musical invasion? “I’m no expert,"" says one composer, ""but I’ve certainly got the i…"
81,81,0.0,Tue Jul 10 06:35:09 +0000 2018,0.0,1.0,0.0,The New York Times,RT @natashanyt: 1/ A Facebook patent application describes a system that could match the faces of shoppers in stores with their social netw…
82,82,-0.3818,Tue Jul 10 06:18:18 +0000 2018,0.224,0.776,0.0,The New York Times,Another front to Facebook's privacy battles? Facial recognition technology. https://t.co/cpxDbYjeDB
83,83,0.0,Tue Jul 10 06:02:05 +0000 2018,0.0,1.0,0.0,The New York Times,RT @nytimesworld: President Erdogan was sworn in for a five-year term under a new Constitution that gives Turkey’s president sweeping execu…
84,84,-0.6369,Tue Jul 10 05:40:26 +0000 2018,0.387,0.476,0.137,The New York Times,Working as a flight attendant may increase the risk for cancer https://t.co/JYPU009iwR
85,85,0.2023,Tue Jul 10 05:23:32 +0000 2018,0.178,0.592,0.23,The New York Times,"Liu Xia, Detained Widow of Nobel Peace Laureate, Leaves China https://t.co/xdxwxpsiys"
86,86,0.4215,Tue Jul 10 05:07:53 +0000 2018,0.0,0.797,0.203,The New York Times,HBO has long favored quality over quantity. That may be changing. https://t.co/elazRrhEpa
87,87,-0.4588,Tue Jul 10 04:51:05 +0000 2018,0.15,0.85,0.0,The New York Times,How a troubled Florida teenager went from the “Dr. Phil” show to signing a major-label record deal as a rapper https://t.co/IN2Qnz3xLW
88,88,-0.5574,Tue Jul 10 04:34:50 +0000 2018,0.159,0.841,0.0,The New York Times,A white manager of a Memphis apartment complex was fired after she called the police on a black man wearing socks i… https://t.co/O7FPF6v4g0
89,89,0.0,Tue Jul 10 04:18:01 +0000 2018,0.0,1.0,0.0,The New York Times,"RT @nytopinion: President Trump’s contention that women need access to formula because of malnutrition, defies both science and common sens…"
90,90,0.0,Tue Jul 10 03:55:48 +0000 2018,0.0,1.0,0.0,The New York Times,Erdogan Begins New Term and Names His Son-in-Law Finance Minister https://t.co/owqR0T4IeE
91,91,-0.6369,Tue Jul 10 03:47:04 +0000 2018,0.167,0.833,0.0,The New York Times,RT @NYTNational: A Texas man said he was acting in self-defense when he fatally shot a teenager. The police said cellphone videos cast doub…
92,92,0.5106,Tue Jul 10 03:32:01 +0000 2018,0.0,0.864,0.136,The New York Times,"To rescue the boys in the Thai cave, divers have to navigate flooded passages, with some openings as small as 3 fee… https://t.co/Jm0h4dFmc3"
93,93,0.6369,Tue Jul 10 03:17:03 +0000 2018,0.0,0.794,0.206,The New York Times,"RT @nytpolitics: After weeks of solo travel around the United States, Melania Trump plans to revive her child-focused project “Be Best” as…"
94,94,-0.2516,Tue Jul 10 03:02:02 +0000 2018,0.14,0.766,0.094,The New York Times,"Global health experts say breast milk is especially important for babies in poor countries, where unsafe water supp… https://t.co/VEDzjHTl7i"
95,95,0.0,Tue Jul 10 02:47:05 +0000 2018,0.0,1.0,0.0,The New York Times,"New York City will inspect all public housing where lead paint may have been used, the mayor said. It could take 2… https://t.co/yqAodQxFWu"
96,96,0.5574,Tue Jul 10 02:32:06 +0000 2018,0.0,0.783,0.217,The New York Times,Video and partial transcript: President Trump announces Brett Kavanaugh as Supreme Court nominee https://t.co/vPICmZO6O1
97,97,0.34,Tue Jul 10 02:23:03 +0000 2018,0.0,0.861,0.139,The New York Times,"RT @jdavidgoodman: NEW: Mayor @BilldeBlasio says New York City will vastly expand its testing for lead in public housing to reach 130,000 a…"
98,98,0.0,Tue Jul 10 02:17:05 +0000 2018,0.0,1.0,0.0,The New York Times,RT @nytopinion: There’s So Much You Don’t Know About Brett Kavanaugh https://t.co/mzmJBVQL0k https://t.co/QmRMpKds3Q
99,99,0.5574,Tue Jul 10 02:02:05 +0000 2018,0.0,0.841,0.159,The New York Times,President Trump nominated Judge Brett Kavanaugh for the Supreme Court. Here’s what happens next and what you can ex… https://t.co/K3OHnzqdA1
100,100,-0.4215,Mon Jul 09 19:11:20 +0000 2018,0.259,0.741,0.0,BBC News (World),Trump denies US opposition to WHO breastfeeding resolution https://t.co/sziQ0GZLUa
101,101,0.0,Mon Jul 09 18:12:45 +0000 2018,0.0,1.0,0.0,BBC News (World),Police: Texas toddler dies from self-inflicted gunshot wound https://t.co/y7EMuiZF7D
102,102,-0.7845,Mon Jul 09 18:04:20 +0000 2018,0.434,0.566,0.0,BBC News (World),Brussels fears UK cabinet crisis is a path to no-deal Brexit https://t.co/hOoTgwSAnt
103,103,0.0772,Mon Jul 09 17:37:02 +0000 2018,0.133,0.708,0.159,BBC News (World),Ryanair agrees to meet union ahead of strike date https://t.co/XmM6zAd7iB
104,104,-0.25,Mon Jul 09 17:24:04 +0000 2018,0.222,0.778,0.0,BBC News (World),Migrant separations: Toddlers facing court cases alone https://t.co/hpG7nfyalQ
105,105,-0.5719,Mon Jul 09 16:58:01 +0000 2018,0.217,0.783,0.0,BBC News (World),RT @BBCJonSopel: Statement from @WhiteHouse on turmoil in UK following #BorisExit and #DavisResigns - all that’s missing are words ‘whoever…
106,106,-0.6249,Mon Jul 09 16:03:34 +0000 2018,0.369,0.631,0.0,BBC News (World),"Boris Johnson quits amid Brexit crisis

https://t.co/1C8JqE7nRa https://t.co/onfbq5aJe7"
107,107,0.0,Mon Jul 09 16:02:21 +0000 2018,0.0,1.0,0.0,BBC News (World),The people in this Ohio county could predict the next president of the US. What should we ask them? Email us at ask… https://t.co/G0B5UkVg0B
108,108,0.0,Mon Jul 09 15:41:14 +0000 2018,0.0,1.0,0.0,BBC News (World),RT @BBCSport: Greg van Avermaet has taken the yellow jersey following day three of the Tour de France https://t.co/Ng1jdYZbID https://t.co/…
109,109,-0.3595,Mon Jul 09 15:17:34 +0000 2018,0.167,0.739,0.094,BBC News (World),"RT @BBCSport: Serena Williams is in the quarter-finals!

She’s defeated Evgeniya Rodina in straight sets.

Live👉https://t.co/JgrbGi9BZF 
📺…"
110,110,-0.3544,Mon Jul 09 15:04:21 +0000 2018,0.251,0.595,0.154,BBC News (World),Harvey Weinstein pleads not guilty in third sex assault case https://t.co/XtBOL42ckP
111,111,0.0,Mon Jul 09 15:01:41 +0000 2018,0.0,1.0,0.0,BBC News (World),California man proposes after finding rings in ashes of home https://t.co/rWWjSKBFBI
112,112,-0.5267,Mon Jul 09 14:08:29 +0000 2018,0.134,0.866,0.0,BBC News (World),RT @richard_conway: I understand FIFA remains in contact with the Thai FA over the football team boys trapped in the partly flooded cave (8…
113,113,0.2732,Mon Jul 09 13:46:42 +0000 2018,0.0,0.851,0.149,BBC News (World),"RT @BBC_HaveYourSay: .@chrissyteigen photo with 'twins' creates social media storm on #breastfeeding

https://t.co/9wQGRpd0H1"
114,114,0.8885,Mon Jul 09 13:02:43 +0000 2018,0.0,0.708,0.292,BBC News (World),"RT @pakhead: So we can confirm 4 boys out, chilled but safe today, 4 boys yesterday. 8 our of 8 - superb work. They will go back for the re…"
115,115,0.7184,Mon Jul 09 13:00:32 +0000 2018,0.0,0.778,0.222,BBC News (World),"RT @BBCBreaking: #ThaiCaveRescue: Four more boys have been safely taken out of the caves, bringing the total rescued to eight, the BBC unde…"
116,116,0.5994,Mon Jul 09 12:03:20 +0000 2018,0.0,0.83,0.17,BBC News (World),"“I want to tell you honey you are the hero in my heart”

Saman Gunan's wife and father tell us about the man who di… https://t.co/PSj0vLctkS"
117,117,-0.4404,Mon Jul 09 12:02:21 +0000 2018,0.127,0.873,0.0,BBC News (World),"RT @bbcaaron: Another scandal is brewing in the car industry. The Japanese auto giant #Nissan says its uncovered ""misconduct"" involving emi…"
118,118,0.7184,Mon Jul 09 11:34:06 +0000 2018,0.0,0.571,0.429,BBC News (World),Douglas care home revised plans to rebuild Glenside approved https://t.co/5hVrIqkj5j
119,119,0.0,Mon Jul 09 10:44:45 +0000 2018,0.0,1.0,0.0,BBC News (World),Millions of Spanish wine bottles sold off as French rosé https://t.co/xydRVC5wB8
120,120,-0.6808,Tue Jul 10 02:36:20 +0000 2018,0.359,0.641,0.0,CBS News,Federal judge denies Trump administration request to detain immigrant children https://t.co/lpKpfC9jKt https://t.co/9wJfaNBJAV
121,121,0.296,Tue Jul 10 02:29:27 +0000 2018,0.0,0.891,0.109,CBS News,RT @CBSThisMorning: First on @CBSThisMorning: @SenSchumer will join us for his first interview following the announcement of Brett Kavanaug…
122,122,0.765,Tue Jul 10 02:12:54 +0000 2018,0.0,0.72,0.28,CBS News,"""He excelled as a clerk for Justice Kennedy"": President Trump says nominee Brett Kavanaugh worked for the very same… https://t.co/nT8DvnBP7D"
123,123,0.5574,Tue Jul 10 01:44:07 +0000 2018,0.0,0.825,0.175,CBS News,"Sen. Schumer blasts President Trump's SCOTUS nominee: ""In selecting Judge Brett Kavanaugh for the Supreme Court, Pr… https://t.co/x2LcjZYBt9"
124,124,0.7906,Tue Jul 10 01:39:59 +0000 2018,0.0,0.696,0.304,CBS News,President Trump nominated Judge Brett Kavanaugh to the Supreme Court seat being vacated by retiring Justice Anthony… https://t.co/TCFHF77bw3
125,125,0.0,Tue Jul 10 01:24:44 +0000 2018,0.0,1.0,0.0,CBS News,"""The girls on the team call me 'Coach K'"": SCOTUS nominee Judge Brett Kavanaugh discusses family life during announ… https://t.co/p2ezT6ZCsq"
126,126,0.7351,Tue Jul 10 01:13:21 +0000 2018,0.0,0.721,0.279,CBS News,"""A true thought leader among his peers,"" says President Trump of his SCOTUS justice nominee Brett Kavanaugh… https://t.co/042k2CmfEI"
127,127,0.5574,Tue Jul 10 01:08:57 +0000 2018,0.0,0.753,0.247,CBS News,BREAKING: President Trump nominates Brett Kavanaugh for the Supreme Court https://t.co/cze8lSrtok https://t.co/3gPSwkwnKd
128,128,-0.8885,Tue Jul 10 00:54:54 +0000 2018,0.491,0.412,0.097,CBS News,Dog feared dead in Virginia helicopter crash found alive inside damaged home nearly a day later… https://t.co/f9KmCehJ89
129,129,0.0258,Tue Jul 10 00:40:43 +0000 2018,0.0,0.945,0.055,CBS News,Giants defensive tackle A.J. Francis says TSA agents spilled his late mother's ashes in his suitcase during an insp… https://t.co/T4NApMIlmo
130,130,0.8658,Tue Jul 10 00:34:57 +0000 2018,0.0,0.623,0.377,CBS News,LIVE: President Trump is announcing his nominee for the next Supreme Court justice tonight. Watch CBSN special cove… https://t.co/VHo7S6ukC5
131,131,0.0,Tue Jul 10 00:22:33 +0000 2018,0.0,1.0,0.0,CBS News,"""It was so unexpected"": Couple describes finding wedding ring in ashes of their burned-down home… https://t.co/24pNHvrr6O"
132,132,0.6597,Tue Jul 10 00:00:38 +0000 2018,0.0,0.735,0.265,CBS News,FINAL FOUR: President Trump will announce his Supreme Court nominee tonight. These are the top contenders.… https://t.co/s5FlpV9xFP
133,133,0.5574,Mon Jul 09 23:39:48 +0000 2018,0.0,0.841,0.159,CBS News,Former Sen. Jon Kyl to guide Pres. Trump's Supreme Court nominee through the Senate confirmation process as his or… https://t.co/SeZ86hxFnJ
